filename,width,height,class,xmin,ymin,xmax,ymax
28.png,128,170,cup,42,263,170,433
28.png,128,170,cup,263,263,391,433
29.png,59,102,icecream,32,25,91,127
29.png,59,102,icecream,185,25,244,127
29.png,85,102,duck,338,25,423,127
29.png,85,102,duck,32,178,117,280
29.png,85,102,duck,185,178,270,280
29.png,85,102,duck,338,178,423,280
29.png,85,102,duck,185,331,270,433
30.png,170,145,mango,42,42,212,187
30.png,170,145,mango,263,42,433,187
30.png,170,145,mango,42,263,212,408
30.png,170,145,mango,263,263,433,408
31.png,101,102,ball,32,25,133,127
31.png,101,102,ball,185,25,286,127
31.png,101,102,ball,338,25,439,127
31.png,101,102,ball,32,178,133,280
31.png,101,102,ball,185,178,286,280
31.png,101,102,ball,338,178,439,280
31.png,128,67,car,185,331,313,398
32.png,170,170,carrot,42,42,212,212
32.png,170,170,carrot,263,42,433,212
32.png,170,170,carrot,42,263,212,433
32.png,170,170,carrot,263,263,433,433
33.png,44,102,lollipop,32,25,76,127
33.png,44,102,lollipop,185,25,229,127
33.png,84,102,lamp,338,25,422,127
33.png,84,102,lamp,32,178,116,280
33.png,84,102,lamp,185,178,269,280
33.png,84,102,lamp,338,178,422,280
33.png,84,102,lamp,121,331,205,433
33.png,84,102,lamp,274,331,358,433
34.png,170,135,shark,42,42,212,177
34.png,170,135,shark,263,42,433,177
34.png,170,135,shark,173,263,343,398
35.png,94,102,snake,32,25,126,127
35.png,94,102,snake,185,25,279,127
35.png,94,102,snake,338,25,432,127
35.png,94,102,snake,32,178,126,280
35.png,94,102,snake,185,178,279,280
35.png,94,102,snake,338,178,432,280
35.png,94,102,snake,121,331,215,433
35.png,60,102,zirafah,274,331,334,433
36.png,146,170,teddy,42,85,188,255
36.png,146,170,teddy,255,85,401,255
37.png,107,128,duck,32,32,139,160
37.png,107,128,duck,185,32,292,160
37.png,107,128,duck,338,32,445,160
37.png,107,128,duck,32,224,139,352
37.png,107,128,duck,185,224,292,352
37.png,107,128,duck,338,224,445,352
38.png,170,127,eapot,42,85,212,212
38.png,170,127,eapot,255,85,425,212
39.png,155,170,pencil,42,42,197,212
39.png,169,161,cupcake,263,42,432,203
39.png,169,161,cupcake,173,263,342,424
40.png,170,165,pumpkin,42,85,212,250
40.png,170,165,pumpkin,255,85,425,250
41.png,91,128,flower,32,32,123,160
41.png,119,128,snake,185,32,304,160
41.png,119,128,snake,338,32,457,160
41.png,119,128,snake,32,224,151,352
41.png,119,128,snake,185,224,304,352
41.png,119,128,snake,338,224,457,352
42.png,170,148,cap,42,42,212,190
42.png,170,148,cap,263,42,433,190
42.png,125,169,ladybug,173,263,298,432
43.png,141,170,lamp,42,85,183,255
43.png,141,170,lamp,255,85,396,255
44.png,128,118,octopus,32,25,160,143
44.png,128,118,octopus,185,25,313,143
44.png,128,118,octopus,338,25,466,143
44.png,128,118,octopus,32,178,160,296
44.png,128,118,octopus,185,178,313,296
44.png,128,118,octopus,338,178,466,296
44.png,128,122,elephant,121,331,249,453
44.png,128,122,elephant,274,331,402,453
45.png,128,109,mango,32,25,160,134
45.png,98,101,sun,185,25,283,126
45.png,98,101,sun,338,25,436,126
45.png,98,101,sun,32,178,130,279
45.png,98,101,sun,185,178,283,279
45.png,98,101,sun,338,178,436,279
45.png,98,101,sun,185,331,283,432
46.png,203,256,orange,144,144,347,400
47.png,102,102,carrot,32,25,134,127
47.png,102,102,carrot,185,25,287,127
47.png,102,102,carrot,338,25,440,127
47.png,102,102,carrot,32,178,134,280
47.png,102,102,carrot,185,178,287,280
47.png,84,102,lamp,338,178,422,280
47.png,84,102,lamp,32,331,116,433
47.png,84,102,lamp,185,331,269,433
47.png,84,102,lamp,338,331,422,433
48.png,203,256,orange,144,144,347,400
49.png,128,118,octopus,32,32,160,150
49.png,128,102,cow,185,32,313,134
49.png,128,102,cow,338,32,466,134
49.png,128,102,cow,32,224,160,326
49.png,128,102,cow,185,224,313,326
49.png,128,102,cow,338,224,466,326
50.png,170,170,carrot,42,42,212,212
50.png,170,170,carrot,263,42,433,212
50.png,170,170,carrot,42,263,212,433
50.png,170,170,carrot,263,263,433,433
51.png,128,102,shark,32,32,160,134
51.png,128,102,shark,185,32,313,134
51.png,128,102,shark,338,32,466,134
51.png,128,102,shark,96,224,224,326
51.png,128,102,shark,249,224,377,326
52.png,146,170,teddy,42,42,188,212
52.png,170,127,eapot,263,42,433,169
52.png,170,127,eapot,173,263,343,390
53.png,170,147,butterfly,42,42,212,189
53.png,170,147,butterfly,263,42,433,189
53.png,170,147,butterfly,173,263,343,410
54.png,128,96,eapot,32,25,160,121
54.png,128,96,eapot,185,25,313,121
54.png,81,102,rabbit,338,25,419,127
54.png,81,102,rabbit,32,178,113,280
54.png,81,102,rabbit,185,178,266,280
54.png,81,102,rabbit,338,178,419,280
54.png,81,102,rabbit,185,331,266,433
55.png,135,136,ball,42,42,177,178
55.png,135,136,ball,263,42,398,178
55.png,135,136,ball,42,263,177,399
55.png,135,136,ball,263,263,398,399
56.png,59,102,icecream,32,25,91,127
56.png,128,118,bird,185,25,313,143
56.png,128,118,bird,338,25,466,143
56.png,128,118,bird,32,178,160,296
56.png,128,118,bird,185,178,313,296
56.png,128,118,bird,338,178,466,296
56.png,128,118,bird,185,331,313,449
57.png,98,101,sun,32,25,130,126
57.png,98,101,sun,185,25,283,126
57.png,87,102,teddy,338,25,425,127
57.png,87,102,teddy,32,178,119,280
57.png,87,102,teddy,185,178,272,280
57.png,87,102,teddy,338,178,425,280
57.png,87,102,teddy,32,331,119,433
57.png,87,102,teddy,185,331,272,433
57.png,87,102,teddy,338,331,425,433
58.png,128,124,pumpkin,32,32,160,156
58.png,100,128,owl,185,32,285,160
58.png,100,128,owl,338,32,438,160
58.png,100,128,owl,32,224,132,352
58.png,100,128,owl,185,224,285,352
58.png,100,128,owl,338,224,438,352
59.png,101,102,ball,32,25,133,127
59.png,101,102,ball,185,25,286,127
59.png,101,102,ball,338,25,439,127
59.png,101,102,ball,32,178,133,280
59.png,101,102,ball,185,178,286,280
59.png,97,102,caterpillar,338,178,435,280
59.png,97,102,caterpillar,185,331,282,433
60.png,81,102,rabbit,32,25,113,127
60.png,81,102,rabbit,185,25,266,127
60.png,81,102,rabbit,338,25,419,127
60.png,81,102,rabbit,32,178,113,280
60.png,81,102,rabbit,185,178,266,280
60.png,44,102,lollipop,338,178,382,280
60.png,44,102,lollipop,185,331,229,433
61.png,170,95,spider,42,42,212,137
61.png,170,126,banana,263,42,433,168
61.png,170,126,banana,42,263,212,389
61.png,170,126,banana,263,263,433,389
62.png,128,109,mango,32,32,160,141
62.png,128,109,mango,185,32,313,141
62.png,128,109,mango,338,32,466,141
62.png,128,109,mango,32,224,160,333
62.png,128,109,mango,185,224,313,333
62.png,128,109,mango,338,224,466,333
63.png,155,170,pencil,42,42,197,212
63.png,155,170,pencil,263,42,418,212
63.png,155,170,pencil,173,263,328,433
64.png,74,170,lollipop,42,42,116,212
64.png,134,170,orange,263,42,397,212
64.png,134,170,orange,173,263,307,433
65.png,127,128,ball,32,32,159,160
65.png,127,128,ball,185,32,312,160
65.png,127,128,ball,338,32,465,160
65.png,127,128,ball,96,224,223,352
65.png,127,128,ball,249,224,376,352
66.png,60,102,zirafah,32,25,92,127
66.png,60,102,zirafah,185,25,245,127
66.png,60,102,zirafah,338,25,398,127
66.png,128,98,fish,32,178,160,276
66.png,128,98,fish,185,178,313,276
66.png,128,98,fish,338,178,466,276
66.png,128,98,fish,121,331,249,429
66.png,128,98,fish,274,331,402,429
67.png,125,169,ladybug,42,42,167,211
67.png,125,169,ladybug,263,42,388,211
67.png,136,170,rabbit,173,263,309,433
68.png,128,124,pumpkin,32,25,160,149
68.png,128,124,pumpkin,185,25,313,149
68.png,128,124,pumpkin,338,25,466,149
68.png,128,124,pumpkin,32,178,160,302
68.png,128,124,pumpkin,185,178,313,302
68.png,128,124,pumpkin,338,178,466,302
68.png,128,124,pumpkin,121,331,249,455
68.png,128,124,pumpkin,274,331,402,455
69.png,233,216,octopus,144,144,377,360
70.png,128,121,cupcake,32,32,160,153
70.png,128,121,cupcake,185,32,313,153
70.png,128,121,cupcake,338,32,466,153
70.png,107,128,duck,96,224,203,352
70.png,107,128,duck,249,224,356,352
71.png,128,95,banana,32,32,160,127
71.png,94,128,ladybug,185,32,279,160
71.png,94,128,ladybug,338,32,432,160
71.png,94,128,ladybug,96,224,190,352
71.png,94,128,ladybug,249,224,343,352
72.png,221,256,bell,144,144,365,400
73.png,170,127,eapot,42,42,212,169
73.png,170,127,eapot,263,42,433,169
73.png,170,127,eapot,42,263,212,390
73.png,170,127,eapot,263,263,433,390
74.png,111,128,tree,32,32,143,160
74.png,111,128,tree,185,32,296,160
74.png,111,128,tree,338,32,449,160
74.png,111,128,tree,32,224,143,352
74.png,102,128,dog,185,224,287,352
74.png,102,128,dog,338,224,440,352
75.png,164,170,sun,42,85,206,255
75.png,164,170,sun,255,85,419,255
76.png,93,102,pencil,32,25,125,127
76.png,72,102,flower,185,25,257,127
76.png,72,102,flower,338,25,410,127
76.png,72,102,flower,32,178,104,280
76.png,72,102,flower,185,178,257,280
76.png,72,102,flower,338,178,410,280
76.png,72,102,flower,32,331,104,433
76.png,72,102,flower,185,331,257,433
76.png,72,102,flower,338,331,410,433
77.png,128,72,spider,32,25,160,97
77.png,128,72,spider,185,25,313,97
77.png,128,72,spider,338,25,466,97
77.png,128,72,spider,32,178,160,250
77.png,128,72,spider,185,178,313,250
77.png,128,72,spider,338,178,466,250
77.png,128,72,spider,121,331,249,403
77.png,128,72,spider,274,331,402,403
78.png,177,256,corn,144,144,321,400
79.png,110,128,bell,32,32,142,160
79.png,110,128,bell,185,32,295,160
79.png,110,128,bell,338,32,448,160
79.png,110,128,bell,32,224,142,352
79.png,110,128,bell,185,224,295,352
79.png,110,128,bell,338,224,448,352
80.png,101,101,apple,42,42,143,143
80.png,101,101,apple,263,42,364,143
80.png,99,170,icecream,173,263,272,433
81.png,141,170,lamp,42,42,183,212
81.png,141,170,lamp,263,42,404,212
81.png,136,170,rabbit,173,263,309,433
82.png,128,102,top,32,25,160,127
82.png,128,118,octopus,185,25,313,143
82.png,128,118,octopus,338,25,466,143
82.png,128,118,octopus,32,178,160,296
82.png,128,118,octopus,185,178,313,296
82.png,128,118,octopus,338,178,466,296
82.png,128,118,octopus,121,331,249,449
82.png,128,118,octopus,274,331,402,449
83.png,221,256,bell,144,144,365,400
84.png,102,128,rabbit,32,32,134,160
84.png,102,128,rabbit,185,32,287,160
84.png,102,128,rabbit,338,32,440,160
84.png,102,128,rabbit,32,224,134,352
84.png,102,128,rabbit,185,224,287,352
84.png,102,128,rabbit,338,224,440,352
85.png,106,128,lamp,32,32,138,160
85.png,106,128,lamp,185,32,291,160
85.png,106,128,lamp,338,32,444,160
85.png,106,128,lamp,96,224,202,352
85.png,128,121,lion,249,224,377,345
86.png,142,170,duck,42,42,184,212
86.png,170,95,spider,263,42,433,137
86.png,170,95,spider,42,263,212,358
86.png,170,95,spider,263,263,433,358
87.png,128,110,butterfly,32,25,160,135
87.png,128,110,butterfly,185,25,313,135
87.png,128,110,butterfly,338,25,466,135
87.png,128,110,butterfly,32,178,160,288
87.png,128,110,butterfly,185,178,313,288
87.png,128,110,butterfly,338,178,466,288
87.png,128,110,butterfly,121,331,249,441
87.png,128,110,butterfly,274,331,402,441
88.png,128,118,octopus,32,25,160,143
88.png,128,118,octopus,185,25,313,143
88.png,128,118,octopus,338,25,466,143
88.png,128,118,octopus,32,178,160,296
88.png,128,118,octopus,185,178,313,296
88.png,128,118,octopus,338,178,466,296
88.png,128,118,octopus,121,331,249,449
88.png,128,118,octopus,274,331,402,449
89.png,101,101,apple,32,32,133,133
89.png,101,101,apple,185,32,286,133
89.png,101,101,apple,338,32,439,133
89.png,101,101,apple,96,224,197,325
89.png,101,101,apple,249,224,350,325
90.png,128,112,umbrella,32,25,160,137
90.png,128,112,umbrella,185,25,313,137
90.png,128,112,umbrella,338,25,466,137
90.png,75,102,ladybug,32,178,107,280
90.png,75,102,ladybug,185,178,260,280
90.png,75,102,ladybug,338,178,413,280
90.png,75,102,ladybug,121,331,196,433
90.png,75,102,ladybug,274,331,349,433
91.png,59,102,icecream,32,25,91,127
91.png,59,102,icecream,185,25,244,127
91.png,80,102,orange,338,25,418,127
91.png,80,102,orange,32,178,112,280
91.png,80,102,orange,185,178,265,280
91.png,80,102,orange,338,178,418,280
91.png,80,102,orange,185,331,265,433
92.png,122,128,frog,32,32,154,160
92.png,122,128,frog,185,32,307,160
92.png,122,128,frog,338,32,460,160
92.png,122,128,frog,32,224,154,352
92.png,122,128,frog,185,224,307,352
92.png,122,128,frog,338,224,460,352
93.png,44,102,lollipop,32,25,76,127
93.png,44,102,lollipop,185,25,229,127
93.png,44,102,lollipop,338,25,382,127
93.png,44,102,lollipop,32,178,76,280
93.png,128,110,butterfly,185,178,313,288
93.png,128,110,butterfly,338,178,466,288
93.png,128,110,butterfly,185,331,313,441
94.png,150,115,fish,144,144,294,259
95.png,112,256,lollipop,144,144,256,400
96.png,170,95,spider,42,42,212,137
96.png,170,157,octopus,263,42,433,199
96.png,170,157,octopus,42,263,212,420
96.png,170,157,octopus,263,263,433,420
97.png,128,102,top,32,25,160,127
97.png,128,102,top,185,25,313,127
97.png,128,102,top,338,25,466,127
97.png,128,102,top,32,178,160,280
97.png,128,102,top,185,178,313,280
97.png,128,102,top,338,178,466,280
97.png,60,102,zirafah,185,331,245,433
98.png,170,90,car,42,42,212,132
98.png,170,90,car,263,42,433,132
98.png,162,170,frog,42,263,204,433
98.png,162,170,frog,263,263,425,433
99.png,128,124,pumpkin,32,32,160,156
99.png,128,124,pumpkin,185,32,313,156
99.png,128,124,pumpkin,338,32,466,156
99.png,128,110,butterfly,32,224,160,334
99.png,128,110,butterfly,185,224,313,334
99.png,128,110,butterfly,338,224,466,334
100.png,101,101,apple,32,25,133,126
100.png,101,101,apple,185,25,286,126
100.png,101,101,apple,338,25,439,126
100.png,101,101,apple,32,178,133,279
100.png,101,101,apple,185,178,286,279
100.png,101,101,apple,338,178,439,279
100.png,101,101,apple,32,331,133,432
100.png,101,101,apple,185,331,286,432
100.png,101,101,apple,338,331,439,432
101.png,101,170,pineapple,42,42,143,212
101.png,101,170,pineapple,263,42,364,212
101.png,101,170,pineapple,42,263,143,433
101.png,101,170,pineapple,263,263,364,433
102.png,133,170,owl,42,85,175,255
102.png,133,170,owl,255,85,388,255
103.png,128,124,pumpkin,32,32,160,156
103.png,128,124,pumpkin,185,32,313,156
103.png,128,124,pumpkin,338,32,466,156
103.png,128,124,pumpkin,96,224,224,348
103.png,128,124,pumpkin,249,224,377,348
104.png,85,102,duck,32,25,117,127
104.png,85,102,duck,185,25,270,127
104.png,85,102,duck,338,25,423,127
104.png,85,102,duck,32,178,117,280
104.png,85,102,duck,185,178,270,280
104.png,85,102,duck,338,178,423,280
104.png,85,102,duck,185,331,270,433
105.png,76,101,balloon,32,25,108,126
105.png,76,101,balloon,185,25,261,126
105.png,76,101,balloon,338,25,414,126
105.png,76,101,balloon,32,178,108,279
105.png,76,101,balloon,185,178,261,279
105.png,76,101,balloon,338,178,414,279
105.png,101,102,ball,32,331,133,433
105.png,101,102,ball,185,331,286,433
105.png,101,102,ball,338,331,439,433
106.png,44,102,lollipop,32,25,76,127
106.png,44,102,lollipop,185,25,229,127
106.png,44,102,lollipop,338,25,382,127
106.png,44,102,lollipop,32,178,76,280
106.png,44,102,lollipop,185,178,229,280
106.png,44,102,lollipop,338,178,382,280
106.png,44,102,lollipop,32,331,76,433
106.png,44,102,lollipop,185,331,229,433
106.png,44,102,lollipop,338,331,382,433
107.png,101,170,zirafah,42,42,143,212
107.png,101,170,zirafah,263,42,364,212
107.png,101,170,zirafah,173,263,274,433
108.png,128,67,car,32,25,160,92
108.png,128,67,car,185,25,313,92
108.png,128,67,car,338,25,466,92
108.png,128,67,car,32,178,160,245
108.png,128,67,car,185,178,313,245
108.png,128,67,car,338,178,466,245
108.png,128,102,cow,32,331,160,433
108.png,128,102,cow,185,331,313,433
108.png,128,102,cow,338,331,466,433
109.png,127,170,balloon,42,85,169,255
109.png,127,170,balloon,255,85,382,255
110.png,128,118,bird,32,32,160,150
110.png,128,118,bird,185,32,313,150
110.png,128,118,bird,338,32,466,150
110.png,128,118,bird,32,224,160,342
110.png,128,118,bird,185,224,313,342
110.png,128,118,bird,338,224,466,342
111.png,170,90,car,42,42,212,132
111.png,133,170,owl,263,42,396,212
111.png,133,170,owl,173,263,306,433
112.png,142,170,duck,42,42,184,212
112.png,142,170,duck,263,42,405,212
112.png,170,126,banana,173,263,343,389
113.png,102,128,rabbit,32,32,134,160
113.png,102,128,rabbit,185,32,287,160
113.png,102,128,rabbit,338,32,440,160
113.png,110,128,teddy,96,224,206,352
113.png,110,128,teddy,249,224,359,352
114.png,150,115,fish,42,42,192,157
114.png,150,115,fish,263,42,413,157
114.png,150,115,fish,42,263,192,378
114.png,170,145,mango,263,263,433,408
115.png,128,170,cup,42,42,170,212
115.png,128,170,cup,263,42,391,212
115.png,128,170,cup,42,263,170,433
115.png,128,170,cup,263,263,391,433
116.png,76,128,zirafah,32,32,108,160
116.png,76,128,zirafah,185,32,261,160
116.png,76,128,zirafah,338,32,414,160
116.png,76,128,zirafah,96,224,172,352
116.png,76,128,zirafah,249,224,325,352
117.png,170,162,elephant,42,42,212,204
117.png,125,169,ladybug,263,42,388,211
117.png,125,169,ladybug,173,263,298,432
118.png,128,98,fish,32,25,160,123
118.png,70,102,corn,185,25,255,127
118.png,70,102,corn,338,25,408,127
118.png,70,102,corn,32,178,102,280
118.png,70,102,corn,185,178,255,280
118.png,70,102,corn,338,178,408,280
118.png,70,102,corn,185,331,255,433
119.png,106,128,lamp,32,32,138,160
119.png,106,128,lamp,185,32,291,160
119.png,106,128,lamp,338,32,444,160
119.png,106,128,lamp,32,224,138,352
119.png,106,128,lamp,185,224,291,352
119.png,106,128,lamp,338,224,444,352
120.png,170,141,pig,42,42,212,183
120.png,170,141,pig,263,42,433,183
120.png,170,141,pig,42,263,212,404
120.png,170,141,pig,263,263,433,404
121.png,91,128,flower,32,32,123,160
121.png,91,128,flower,185,32,276,160
121.png,88,128,corn,338,32,426,160
121.png,88,128,corn,96,224,184,352
121.png,88,128,corn,249,224,337,352
122.png,170,161,lion,42,42,212,203
122.png,170,161,lion,263,42,433,203
122.png,170,161,lion,173,263,343,424
123.png,122,128,caterpillar,32,32,154,160
123.png,122,128,caterpillar,185,32,307,160
123.png,122,128,caterpillar,338,32,460,160
123.png,122,128,caterpillar,32,224,154,352
123.png,122,128,caterpillar,185,224,307,352
123.png,122,128,caterpillar,338,224,460,352
124.png,60,102,zirafah,32,25,92,127
124.png,60,102,zirafah,185,25,245,127
124.png,60,102,zirafah,338,25,398,127
124.png,60,102,zirafah,32,178,92,280
124.png,60,102,zirafah,185,178,245,280
124.png,60,102,zirafah,338,178,398,280
124.png,60,102,zirafah,32,331,92,433
124.png,60,102,zirafah,185,331,245,433
124.png,128,111,cap,338,331,466,442
125.png,128,96,eapot,32,32,160,128
125.png,128,96,eapot,185,32,313,128
125.png,128,96,eapot,338,32,466,128
125.png,128,96,eapot,96,224,224,320
125.png,128,96,eapot,249,224,377,320
126.png,128,110,butterfly,32,25,160,135
126.png,128,110,butterfly,185,25,313,135
126.png,128,110,butterfly,338,25,466,135
126.png,128,110,butterfly,32,178,160,288
126.png,128,110,butterfly,185,178,313,288
126.png,128,110,butterfly,338,178,466,288
126.png,128,110,butterfly,32,331,160,441
126.png,128,110,butterfly,185,331,313,441
126.png,128,118,octopus,338,331,466,449
127.png,128,106,pig,32,32,160,138
127.png,128,106,pig,185,32,313,138
127.png,128,106,pig,338,32,466,138
127.png,128,106,pig,32,224,160,330
127.png,128,106,pig,185,224,313,330
127.png,128,106,pig,338,224,466,330
128.png,101,170,pineapple,42,42,143,212
128.png,150,115,fish,263,42,413,157
128.png,150,115,fish,42,263,192,378
128.png,150,115,fish,263,263,413,378
129.png,122,128,caterpillar,32,32,154,160
129.png,122,128,caterpillar,185,32,307,160
129.png,122,128,caterpillar,338,32,460,160
129.png,122,128,caterpillar,32,224,154,352
129.png,122,128,caterpillar,185,224,307,352
129.png,122,128,caterpillar,338,224,460,352
130.png,117,128,pencil,32,32,149,160
130.png,94,128,ladybug,185,32,279,160
130.png,94,128,ladybug,338,32,432,160
130.png,94,128,ladybug,96,224,190,352
130.png,94,128,ladybug,249,224,343,352
131.png,128,121,lion,32,32,160,153
131.png,101,128,orange,185,32,286,160
131.png,101,128,orange,338,32,439,160
131.png,101,128,orange,96,224,197,352
131.png,101,128,orange,249,224,350,352
132.png,128,72,spider,32,32,160,104
132.png,128,72,spider,185,32,313,104
132.png,128,72,spider,338,32,466,104
132.png,128,72,spider,32,224,160,296
132.png,128,72,spider,185,224,313,296
132.png,128,72,spider,338,224,466,296
133.png,117,170,corn,42,42,159,212
133.png,117,170,corn,263,42,380,212
133.png,117,170,corn,173,263,290,433
134.png,128,109,mango,32,32,160,141
134.png,128,109,mango,185,32,313,141
134.png,128,109,mango,338,32,466,141
134.png,101,101,apple,32,224,133,325
134.png,101,101,apple,185,224,286,325
134.png,101,101,apple,338,224,439,325
135.png,98,101,sun,32,25,130,126
135.png,98,101,sun,185,25,283,126
135.png,98,101,sun,338,25,436,126
135.png,98,101,sun,32,178,130,279
135.png,98,101,sun,185,178,283,279
135.png,98,101,sun,338,178,436,279
135.png,98,101,sun,32,331,130,432
135.png,98,101,sun,185,331,283,432
